,id,title,extract
0,134,Apophis,"Apophis (en grec ancien : Άπωφις ou Άποφις, ou Apopis ou Apofis, en égyptien : Apep ou Apepi ou Aapep ou Aapef) est un dieu de la mythologie égyptienne des forces mauvaises et de la nuit, personnification du chaos, du mal, de l'obscurité, cherchant à anéantir la création divine. Son nom Aapep ou Aapef (en égyptien ancien) signifiait « géant » ou « serpent géant »."
1,324,AND,"AND est un code qui peut signifier :

Andorre :
selon la norme ISO 3166-1 alpha-3 (liste des codes pays),
selon la liste des codes pays du CIO,
selon la liste des codes internationaux des plaques minéralogiques,
selon la liste des codes pays utilisés par l'OTAN, code alpha-3 ;
Aéroport du comté d'Anderson en Caroline du Sud, aux États-Unis, selon la liste des codes AITA des aéroports ;
AND, un groupe de demomakers ;
Androni Giocattoli selon l'UCI.AND est un sigle qui peut signifier :

algoneurodystrophie, un autre nom du syndrome douloureux régional complexe ;
Armée nationale de développement des Comores.And est une abréviation, qui signifie :

Andromeda, Andromedae, le nom latin et son génitif de la constellation d'Andromède.And ou AND peut aussi désigner :

AND, le nom anglais de l'opérateur booléen ET ;
And, un atoll des États fédérés de Micronésie ;
And, un prénom masculin, selon la liste des prénoms albanais."
2,640,Christiane Taubira,"Christiane Taubira, née le 2 février 1952 à Cayenne (Guyane), est une femme politique française.
Elle commence sa carrière politique comme militante indépendantiste, puis participe à la création du parti politique guyanais Walwari. Députée de la première circonscription de la Guyane de 1993 à 2012, elle est à l'origine de la loi tendant à la reconnaissance de la traite et de l'esclavage en tant que crime contre l'humanité.
Candidate du Parti radical de gauche (PRG) à l'élection présidentielle de 2002, elle arrive en treizième position du premier tour de scrutin, avec 2,32 % des voix.
Elle est garde des Sceaux, ministre de la Justice du 16 mai 2012 au 27 janvier 2016, dans les gouvernements Jean-Marc Ayrault I et II, puis Manuel Valls I et II. À ce titre, elle défend au Parlement le projet de loi ouvrant le mariage aux couples de personnes de même sexe. Son travail à la tête du ministère de la Justice est salué par la gauche alors que l'opposition juge sa politique pénale laxiste."
3,643,Liste des communes de la Gironde,Cette page recense les communes du département de la Gironde en France. La Gironde comprend 535 communes au 1er janvier 2019.
4,644,Liste des communes des Landes,Cette page recense les 327 communes du département des Landes en France au 1er janvier 2019.
5,648,Liste des communes de la Charente,Cette page liste les 366 communes du département français de la Charente au 1er janvier 2019.
6,652,Liste des communes de la Vienne,Cette page recense les 266 communes du département de la Vienne en France au 1er janvier 2019.
7,658,Liste des communes des Alpes-Maritimes,Cette page liste les 163 communes du département français des Alpes-Maritimes au 1er janvier 2019.
8,679,Liste des communes du Calvados,Cette page liste les 527 communes du département français du Calvados au 1er janvier 2019.
9,684,Liste des communes du Cher,Cette page liste les communes du département du Cher en France. Le Cher comprend 287 communes au 1er janvier 2019.
10,685,Liste des communes de la Corrèze,Cette page recense les communes du département de la Corrèze en France. La Corrèze comprend 280 communes au 1er janvier 2019.
11,746,Conte,"Le mot conte désigne à la fois un récit de faits ou d'aventures imaginaires et le genre littéraire (avant tout oral) qui relate les dits récits. Le conte, en tant que récit, peut être court mais aussi long. Qu'il vise à distraire ou à édifier, il porte en lui une force émotionnelle ou philosophique puissante. Depuis la Renaissance, les contes font l'objet de réécritures, donnant naissance au fil des siècles à un genre écrit à part entière. Cependant, il est distinct du roman, de la nouvelle et du récit d'aventures par l'acceptation de l'invraisemblance.
Il y a deux pratiques du genre littéraire qu'est le conte : orale et écrite. Ces deux pratiques se différenciant par leur mode de création et de diffusion comme par leur contenu, il convient de les distinguer.
Le conte est un objet littéraire difficile à définir étant donné son caractère hybride et polymorphe. Le genre littéraire comme les histoires elles-mêmes font l'objet d'études convoquant des savoirs connexes, à la lumière des sciences humaines, tels que l'histoire littéraire, la sémiologie, la sociologie, l'anthropologie ou la psychanalyse.
Le terme de « conte » est utilisé parfois pour désigner l'activité de conter, quel que soit le type d'histoires (épopée, légende, histoire de vie, nouvelle, etc.)."
12,789,Contre-culture,Une contre-culture ou contreculture est un mouvement culturel contestataire. Il peut en exister plusieurs simultanément au sein d'une même société.
13,794,Archipel des Comores,"L'archipel des Comores forme un ensemble d'îles de l'océan Indien situées au sud-est de l'Afrique, entre le littoral nord mozambicain et à la pointe nord de Madagascar. Il est constitué principalement de quatre îles: Grande Comore, Anjouan, Mohéli et Mayotte. Les trois premières forment  l'Union des Comores, pays indépendant, tandis que Mayotte (composé des îles Grande-Terre et Petite-Terre), île la plus au sud-est et les quelques îles environnantes sont un département français. Selon les sources, l'îlot du banc du Geyser et les îles Glorieuses peuvent ou non être rattachées à l'archipel.
Cette présence de la France aux Comores, ancienne colonie française, est l'objet d'un contentieux entre la France et l'Union des Comores depuis l'indépendance de cette dernière en 1975, la population de Mayotte avait lors du référendum d'auto-détermination décidé de rester française. Toutefois les deux pays restent très liés diplomatiquement et entretiennent des liens étroits. La diaspora comorienne en France est de très loin la première communauté comorienne à l'étranger."
